id_estudiante,nombre,apellido,email,genero
1,Nikolai,Evershed,nevershed0@about.me,Male
2,Sara-ann,Docksey,sdocksey1@g.co,Female
3,Beale,Hearnaman,bhearnaman2@dot.gov,Male
4,Alys,Le Franc,alefranc3@dailymail.co.uk,Female
5,Nobe,Giacopini,ngiacopini4@csmonitor.com,Male
6,Dorri,de Leon,ddeleon5@rambler.ru,Female
7,Erik,Frie,efrie6@goo.gl,Non-binary
8,Deane,Camplejohn,dcamplejohn7@theatlantic.com,Female
9,Omar,Dickerline,odickerline8@dedecms.com,Male
10,Adrian,Cosins,acosins9@nifty.com,Female
11,Janelle,Guitte,jguittea@4shared.com,Female
12,Alla,Rutt,aruttb@gizmodo.com,Female
13,Saunder,Lamey,slameyc@google.pl,Male
14,Alley,Crimmins,acrimminsd@about.me,Male
15,Brinna,Rakestraw,brakestrawe@cocolog-nifty.com,Female
16,Joelynn,Millom,jmillomf@cmu.edu,Female
17,Fredek,Bridat,fbridatg@php.net,Male
18,Karlan,Cowperthwaite,kcowperthwaiteh@google.pl,Male
19,Shelba,Pusey,spuseyi@typepad.com,Female
20,Murial,Ranshaw,mranshawj@msn.com,Female
